angle	x	y	z	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10
6.540610275	6.325089083	17.50564609	1.665181931	6.540610275	0.642142459	-0.475696653	0.403114987	-0.183449402	-1.318090762	-0.949998223	-0.141543606	-0.138489854	-0.746989447
13.53069224	7.712148266	14.18732405	11.11766169	13.53069224	-0.829302921	-0.073110552	0.513145958	1.715994565	0.782148673	-1.296833687	-1.138859082	-2.629362134	-1.747221951
7.33173215	3.657295461	1.014696475	6.354406835	7.33173215	-0.924044865	-0.707449392	-0.460888275	-0.431611716	-1.061792683	-0.282796962	1.412324733	-0.371514322	-0.806059232
6.608735127	6.261611453	20.65535958	2.113670264	6.608735127	1.197505083	0.438848687	-0.031991692	-1.457382014	-1.758716697	0.556607753	1.546412554	-0.134827395	-0.899619172
12.13281885	11.01028306	18.91289224	-5.096955965	12.13281885	1.447169036	-1.606708519	-0.067956097	-0.276991136	0.602778878	-0.144439415	-0.470067607	-1.101652304	0.795041347
10.34673043	-6.252173421	20.74873712	-8.244098381	10.34673043	0.955051444	-0.161041797	1.056490141	1.957695971	-1.374219752	0.584134787	-1.938282736	1.604392103	2.705355219
8.021060846	-1.333926061	6.299582714	7.909365231	8.021060846	-0.342497426	0.349518632	-2.155515018	-0.355458089	0.683537441	0.702180127	-0.889432759	0.427820455	0.916009464
11.24521947	2.778245681	10.45910043	-10.89661929	11.24521947	0.174831399	0.325605121	1.724496789	-0.125669807	0.532474747	0.800374659	0.098602169	-1.614563311	1.765937855
13.61486724	6.792110688	7.907322771	11.79965434	13.61486724	0.598280027	-1.416693866	-0.089048916	0.425059361	-1.418087807	-0.678475609	-1.283584513	-1.409077831	0.228655314
6.823331465	5.851917832	6.295414538	3.508975629	6.823331465	-2.121374507	0.115818656	0.00740551	0.551188036	0.032188575	-1.22983557	0.075469587	-2.770420658	-0.545453667
5.431880858	3.579623485	5.711152816	-4.085538564	5.431880858	0.790841808	-0.795286139	-0.3955027	0.416505617	-0.25427039	1.45791117	1.245089775	0.14247093	0.116951976
10.18365095	-7.38937903	2.722211333	-7.007412096	10.18365095	0.251269369	1.650787227	0.540351855	-1.244092987	-0.748323977	1.098138879	0.645166574	-0.259304437	-0.380627309
6.462667867	6.358852851	18.70957603	1.153718498	6.462667867	-2.025993852	0.997307563	0.421203349	-3.615431348	-1.543998295	1.120545421	-0.917959396	0.861041966	0.737552944
6.363333094	6.342906064	9.929517165	0.509461223	6.363333094	1.547232007	-0.559084282	-0.776949149	-1.341157621	-0.78693511	1.220374712	0.637358873	0.164318986	-0.912319018
9.559777895	-9.472796727	3.674994463	-1.286652853	9.559777895	-1.127385819	-0.291442247	1.00935629	0.251521282	2.475517799	1.256148851	2.292978425	1.471520675	0.503982336
13.07676907	11.41013383	14.0198236	6.388328054	13.07676907	0.027947675	0.958591495	-0.340491182	-0.390865723	-0.64862918	-0.573626446	-1.864551361	-0.897999229	0.637601783
7.828949324	0.195956223	18.22311584	7.826496577	7.828949324	2.205781881	-0.533095224	-0.517128376	-0.81655372	0.625357004	-0.73095684	0.059599857	0.955841177	-1.103111169
5.053451527	1.690322051	9.827344782	-4.762371647	5.053451527	-1.253643653	-2.400274011	-0.511107557	-0.589225119	2.027625345	0.402233387	0.915714961	-2.442142507	1.971775828
9.776749655	-9.17738404	19.5088628	-3.370527556	9.776749655	0.319581647	-0.206063919	0.70718859	2.024033564	0.912731413	0.854044458	-0.131557067	0.856234669	1.066474736
10.54537116	-4.588801707	3.620925603	-9.494616991	10.54537116	0.915718988	1.340763075	-0.931140434	0.186518703	0.622405456	0.29063303	-0.197891538	-0.699771156	-1.263488671
8.207049026	-2.837813834	15.22056782	7.700809462	8.207049026	-1.455708464	0.652835931	0.250059166	-0.163101944	0.501999606	-1.447911132	-0.735291818	-0.574169778	0.395801322
